title,section,price,structure,photo,link
達文西3房車5樓,桃園區龍泉一街,968萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201600563/TH012160262_I1.jpg,http://www.twcd.com.tw/house/C201600563.php
宏昌華廈1樓,桃園區宏昌十一街,658萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C701601015/TH022160582_I3.jpg,http://www.twcd.com.tw/house/C701601015.php
冠桃園3房車,桃園區國際路一段,698萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201521096/TH022160229_I6.jpg,http://www.twcd.com.tw/house/C201521096.php
力行路7-11,桃園區力行路,8800萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201602002/TH022160906_I4.jpg,http://www.twcd.com.tw/house/C201602002.php
龍安居大三房,桃園區龍安街,798萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201516860/TH012160154_I7.jpg,http://www.twcd.com.tw/house/C201516860.php
麗寶U生活三房車,桃園區大業路二段,880萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201600522/TH012160215_I7.jpg,http://www.twcd.com.tw/house/C201600522.php
南門市場透店,桃園區鎮南街,7200萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201516873/TH012160120_I2.jpg,http://www.twcd.com.tw/house/C201516873.php
天下至尊美三房,桃園區南山街,468萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C201600568/TH022160902_I7.jpg,http://www.twcd.com.tw/house/C201600568.php
新洋房,桃園區大興西路二段,598萬,1房 1廳 1.0衛,http://www.twcd.com.tw/upload/objectimg/C101518869/TH022160893_I7.jpg,http://www.twcd.com.tw/house/C701516092.php
桃園後站店住,桃園區林森路,538萬,4房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C701516092/TH032160253_I1.jpg,http://www.twcd.com.tw/house/C101518869.php
寶城皇家美3房,平鎮區新富五街,660萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C301601284/TH022160595_I1.jpg,http://www.twcd.com.tw/house/C301601284.php
領袖王朝三房,平鎮區環南路二段,568萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C101514916/TH022160207_I2.jpg,http://www.twcd.com.tw/house/C101514916.php
心聚庭院美宅,平鎮區大連街,980萬,2房 1廳 1.0衛,http://www.twcd.com.tw/upload/objectimg/C201516299/TH021160080_I7.jpg,http://www.twcd.com.tw/house/C201516299.php
遠雄龍岡2期三房車,平鎮區C1棟,1498萬,3房 2廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C701516672/TH032160130_I8.jpg,http://www.twcd.com.tw/house/C701516672.php
美活市景觀2房車,平鎮區南平路,658萬,2房 2廳 1.0衛,http://www.twcd.com.tw/upload/objectimg/C701511918/TH042160022_I7.jpg,http://www.twcd.com.tw/house/C701511918.php
龍潭正市區紀凡希4房優質華廈,龍潭區公園路,1980萬,4房 3廳 2.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/600/450/YC01/2549560/YCBA033AG072092513A.jpg?t=-2079994378,https://buy.yungching.com.tw/house/2549560
新桃源8樓2房+車位及裝潢,龍潭區民族路,558萬,2房 2廳 1.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/600/450/YC01/2234192/YCBA033AA064884105A.jpg?t=-607314421,https://buy.yungching.com.tw/house/2234192
新桃源2房+車位,龍潭區民族路,498萬,2房 2廳 1.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/600/450/YC01/2234189/YCBA033AA064884001A.jpg?t=-203165366,https://buy.yungching.com.tw/house/2234189
鄉園美3房,龍潭區中正路上華段,698萬,3房 2廳 2.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/600/450/YC01/2481917/YCDC105AA068842410A.jpg?t=961234582,https://buy.yungching.com.tw/house/2481917
香榭四季別墅/時尚溫馨風格,龍潭區干城路,1168萬,4房 3廳 3.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/600/450/YC01/2224722/YCBA059AA065337701A.jpg?t=-136439484,https://buy.yungching.com.tw/house/2224722
埔心低總價美寓,楊梅區萬大路,288萬,3房 2廳 1.0衛,http://www.twcd.com.tw/upload/objectimg/C101518820/TH022160674_I2.jpg,http://www.twcd.com.tw/house/C101518820.php
楊梅夏威夷別墅,楊梅區光裕南街,550萬,3房 3廳 2.0衛,http://www.twcd.com.tw/upload/objectimg/C101518839/TH022160671_I7.jpg,http://www.twcd.com.tw/house/C101518839.php
楊梅全新別墅,楊梅區民有路二段,998萬,4房 2廳 4.0衛,http://www.twcd.com.tw/upload/objectimg/C801516741/TH022160617_I1.jpg,http://www.twcd.com.tw/house/C801516741.php
楊梅後站透店,楊梅區梅高路,4388萬,0房 0廳 4.0衛,http://www.twcd.com.tw/upload/objectimg/C701507564/TH032160189_I8.jpg,http://www.twcd.com.tw/house/C701507564.php
北湖庭院車位別墅,楊梅區富祥街,588萬,5房 2廳 3.0衛,https://pic.hfcdn.com/res/DrawImage/ShowPic/600/450/YC01/2397696/TCNB015EA002716103A.jpg?t=-848051711,https://buy.yungching.com.tw/house/2397696
